defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,Year,Month,Month_Name,Quarter,Week,Day_of_Week,Severity_Rank,Cost_Range,Is_Critical,Cumulative_Cost_per_Product
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01,2024,2,February,Q1,7,Thursday,2,$251-500,0,647.0899999999999
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52,2024,2,February,Q1,8,Wednesday,1,$0-250,0,3093.4900000000002
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25,2024,4,April,Q2,16,Friday,3,$501-750,1,1785.47
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71,2024,3,March,Q1,10,Tuesday,3,$501-750,1,1895.8
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33,2024,6,June,Q2,26,Monday,3,$751-1000,1,2006.44
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54,2024,4,April,Q2,14,Thursday,3,$751-1000,1,1865.72
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88,2024,1,January,Q1,1,Saturday,1,$501-750,0,1690.6799999999998
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91,2024,3,March,Q1,13,Monday,3,$0-250,1,1647.19
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79,2024,5,May,Q2,22,Monday,2,$751-1000,0,1537.4499999999998
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34,2024,6,June,Q2,25,Tuesday,2,$501-750,0,776.3000000000001
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02,2024,1,January,Q1,3,Tuesday,1,$0-250,0,757.14
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23,2024,4,April,Q2,17,Friday,1,$251-500,0,1379.22
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31,2024,4,April,Q2,14,Friday,3,$751-1000,1,1702.6100000000001
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88,2024,1,January,Q1,5,Monday,3,$751-1000,1,1619.69
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18,2024,1,January,Q1,4,Thursday,2,$501-750,0,747.18
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84,2024,3,March,Q1,12,Friday,3,$251-500,1,925.19
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15,2024,6,June,Q2,23,Friday,1,$501-750,0,1149.24
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7,2024,1,January,Q1,4,Saturday,2,$0-250,0,305.0
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04,2024,1,January,Q1,2,Tuesday,1,$251-500,0,2073.23
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52,2024,5,May,Q2,18,Friday,2,$251-500,0,1373.21
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64,2024,1,January,Q1,4,Wednesday,1,$751-1000,0,2971.64
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9,2024,5,May,Q2,21,Tuesday,1,$501-750,0,1178.3600000000001
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22,2024,5,May,Q2,19,Tuesday,1,$751-1000,0,788.22
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74,2024,1,January,Q1,3,Tuesday,3,$251-500,1,1253.96
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8,2024,5,May,Q2,20,Sunday,2,$501-750,0,661.8
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77,2024,5,May,Q2,20,Friday,2,$501-750,0,532.77
161,56,Cosmetic,2024-05-21,Component,Minor,Visual Inspection,612.03,2024,5,May,Q2,21,Tuesday,1,$501-750,0,1790.3899999999999
162,56,Functional,2024-02-09,Component,Moderate,Manual Testing,614.11,2024,2,February,Q1,6,Friday,2,$501-750,0,2404.5
163,12,Cosmetic,2024-01-30,Surface,Minor,Manual Testing,238.39,2024,1,January,Q1,5,Tuesday,1,$0-250,0,265.63
164,6,Structural,2024-04-20,Internal,Minor,Visual Inspection,986.51,2024,4,April,Q2,16,Saturday,1,$751-1000,0,2438.54
165,30,Cosmetic,2024-05-06,Component,Critical,Automated Testing,796.76,2024,5,May,Q2,19,Monday,3,$751-1000,1,1997.95
166,34,Functional,2024-02-15,Component,Minor,Visual Inspection,105.27,2024,2,February,Q1,7,Thursday,1,$0-250,0,105.27
167,99,Cosmetic,2024-01-27,Surface,Moderate,Automated Testing,950.97,2024,1,January,Q1,4,Saturday,2,$751-1000,0,1668.18
168,14,Structural,2024-06-29,Surface,Critical,Visual Inspection,517.41,2024,6,June,Q2,26,Saturday,3,$501-750,1,2536.2
169,70,Cosmetic,2024-06-03,Surface,Critical,Manual Testing,789.62,2024,6,June,Q2,23,Monday,3,$751-1000,1,1449.67
170,4,Functional,2024-05-16,Internal,Moderate,Visual Inspection,942.03,2024,5,May,Q2,20,Thursday,2,$751-1000,0,942.03
171,74,Cosmetic,2024-04-26,Surface,Moderate,Manual Testing,352.05,2024,4,April,Q2,17,Friday,2,$251-500,0,812.57
172,25,Cosmetic,2024-01-02,Component,Critical,Automated Testing,10.22,2024,1,January,Q1,1,Tuesday,3,$0-250,1,767.36
173,74,Cosmetic,2024-03-29,Component,Moderate,Automated Testing,932.23,2024,3,March,Q1,13,Friday,2,$751-1000,0,1744.8000000000002
174,51,Functional,2024-05-29,Surface,Critical,Automated Testing,715.22,2024,5,May,Q2,22,Wednesday,3,$501-750,1,1094.1
175,6,Structural,2024-02-19,Internal,Moderate,Manual Testing,999.64,2024,2,February,Q1,8,Monday,2,$751-1000,0,3438.18
176,13,Structural,2024-03-09,Surface,Critical,Manual Testing,952.49,2024,3,March,Q1,10,Saturday,3,$751-1000,1,1582.2
177,34,Structural,2024-01-21,Internal,Minor,Manual Testing,174.76,2024,1,January,Q1,3,Sunday,1,$0-250,0,280.03
178,51,Functional,2024-01-17,Internal,Minor,Visual Inspection,755.15,2024,1,January,Q1,3,Wednesday,1,$751-1000,0,1849.25
179,44,Structural,2024-04-23,Surface,Moderate,Automated Testing,532.6,2024,4,April,Q2,17,Tuesday,2,$501-750,0,913.75
180,64,Structural,2024-01-07,Component,Minor,Manual Testing,854.25,2024,1,January,Q1,1,Sunday,1,$751-1000,0,2379.36
181,91,Functional,2024-02-29,Internal,Minor,Automated Testing,383.83,2024,2,February,Q1,9,Thursday,1,$251-500,0,916.5999999999999
182,80,Functional,2024-01-27,Internal,Moderate,Manual Testing,80.0,2024,1,January,Q1,4,Saturday,2,$0-250,0,721.58
183,8,Structural,2024-02-02,Component,Critical,Visual Inspection,970.31,2024,2,February,Q1,5,Friday,3,$751-1000,1,1644.1599999999999
184,14,Functional,2024-02-09,Internal,Moderate,Visual Inspection,517.63,2024,2,February,Q1,6,Friday,2,$501-750,0,3053.83
185,64,Structural,2024-01-15,Surface,Moderate,Automated Testing,81.33,2024,1,January,Q1,3,Monday,2,$0-250,0,2460.69
186,21,Structural,2024-03-29,Component,Critical,Manual Testing,540.92,2024,3,March,Q1,13,Friday,3,$501-750,1,540.92
187,13,Cosmetic,2024-04-27,Internal,Critical,Visual Inspection,280.77,2024,4,April,Q2,17,Saturday,3,$251-500,1,1862.97
188,56,Structural,2024-06-02,Internal,Moderate,Automated Testing,87.28,2024,6,June,Q2,22,Sunday,2,$0-250,0,2491.78
189,95,Cosmetic,2024-02-23,Surface,Minor,Manual Testing,306.56,2024,2,February,Q1,8,Friday,1,$251-500,0,306.56
190,4,Functional,2024-06-22,Surface,Critical,Automated Testing,86.46,2024,6,June,Q2,25,Saturday,3,$0-250,1,1028.49
191,80,Cosmetic,2024-01-12,Surface,Critical,Manual Testing,13.03,2024,1,January,Q1,2,Friday,3,$0-250,1,734.61
192,95,Functional,2024-03-21,Component,Critical,Visual Inspection,525.07,2024,3,March,Q1,12,Thursday,3,$501-750,1,831.6300000000001
193,28,Cosmetic,2024-05-21,Component,Critical,Manual Testing,219.71,2024,5,May,Q2,21,Tuesday,3,$0-250,1,1910.3899999999999
194,1,Structural,2024-03-03,Component,Critical,Visual Inspection,192.21,2024,3,March,Q1,9,Sunday,3,$0-250,1,1509.19
195,17,Structural,2024-02-18,Component,Moderate,Automated Testing,924.13,2024,2,February,Q1,7,Sunday,2,$751-1000,0,2548.13
196,18,Structural,2024-06-21,Component,Minor,Manual Testing,65.23,2024,6,June,Q2,25,Friday,1,$0-250,0,65.23
197,76,Cosmetic,2024-05-28,Internal,Moderate,Automated Testing,481.7,2024,5,May,Q2,22,Tuesday,2,$251-500,0,481.7
198,28,Cosmetic,2024-04-14,Surface,Minor,Manual Testing,561.27,2024,4,April,Q2,15,Sunday,1,$501-750,0,2471.66
199,75,Structural,2024-01-30,Internal,Moderate,Visual Inspection,169.54,2024,1,January,Q1,5,Tuesday,2,$0-250,0,1542.75
200,78,Cosmetic,2024-04-04,Surface,Moderate,Visual Inspection,629.38,2024,4,April,Q2,14,Thursday,2,$501-750,0,629.38
201,8,Cosmetic,2024-01-04,Surface,Critical,Automated Testing,783.36,2024,1,January,Q1,1,Thursday,3,$751-1000,1,2427.52
202,97,Structural,2024-05-25,Surface,Moderate,Automated Testing,102.88,2024,5,May,Q2,21,Saturday,2,$0-250,0,407.88
203,22,Structural,2024-04-05,Component,Minor,Manual Testing,269.04,2024,4,April,Q2,14,Friday,1,$251-500,0,574.97
204,82,Functional,2024-01-20,Surface,Moderate,Visual Inspection,257.33,2024,1,January,Q1,3,Saturday,2,$251-500,0,257.33
